DATASET_CODE	LIMNO_RUN	LOCATION NAME	LOCATION CODE	SEASON	DATE_TIME	DEPTH (m)	PPR (ug C/L*d)	FILE NAME	DEPTH MASL
LIMNO_PPR	HOA9394L2	Lake Hoare	HORLT1	1	12/1/1993	14	0.31	HORSUMRY.XLW	60.05994391
LIMNO_PPR	HOA9394L2	Lake Hoare	HORLT1	1	12/1/1993	16	0.23	HORSUMRY.XLW	58.05994391
LIMNO_PPR	HOA9394L2	Lake Hoare	HORLT1	1	12/1/1993	18	0.12	HORSUMRY.XLW	56.05994391
LIMNO_PPR	HOA9394L2	Lake Hoare	HORLT1	1	12/1/1993	20	0.09	HORSUMRY.XLW	54.05994391
LIMNO_PPR	HOA9394L2	Lake Hoare	HORLT1	1	12/1/1993	22	0.06	HORSUMRY.XLW	52.05994391
LIMNO_PPR	EB9394L4	East Lake Bonney	BONE30	1	12/7/1993	4	0.84	E30SUMRY.XLW	
LIMNO_PPR	EB9394L4	East Lake Bonney	BONE30	1	12/7/1993	6	0.73	E30SUMRY.XLW	
LIMNO_PPR	EB9394L4	East Lake Bonney	BONE30	1	12/7/1993	8	0.9	E30SUMRY.XLW	
LIMNO_PPR	EB9394L4	East Lake Bonney	BONE30	1	12/7/1993	10	0.52	E30SUMRY.XLW	
LIMNO_PPR	EB9394L4	East Lake Bonney	BONE30	1	12/7/1993	12	1.19	E30SUMRY.XLW	
LIMNO_PPR	EB9394L4	East Lake Bonney	BONE30	1	12/7/1993	13	1.74	E30SUMRY.XLW	
LIMNO_PPR	EB9394L4	East Lake Bonney	BONE30	1	12/7/1993	15	0.58	E30SUMRY.XLW	
LIMNO_PPR	EB9394L4	East Lake Bonney	BONE30	1	12/7/1993	18	0.26	E30SUMRY.XLW	
LIMNO_PPR	EB9394L4	East Lake Bonney	BONE30	1	12/7/1993	20	0.09	E30SUMRY.XLW	
LIMNO_PPR	EB9394L4	East Lake Bonney	BONE30	1	12/7/1993	22	0.01	E30SUMRY.XLW	
LIMNO_PPR	FRX9394L2	Lake Fryxell	FRXLT1	1	12/7/1993	4	7.45	FRXSUMRY.XLW	13.53415465
LIMNO_PPR	FRX9394L2	Lake Fryxell	FRXLT1	1	12/7/1993	6	4.15	FRXSUMRY.XLW	11.53415465
LIMNO_PPR	FRX9394L2	Lake Fryxell	FRXLT1	1	12/7/1993	7	2.58	FRXSUMRY.XLW	10.53415465
LIMNO_PPR	FRX9394L2	Lake Fryxell	FRXLT1	1	12/7/1993	8	2.92	FRXSUMRY.XLW	9.53415465
LIMNO_PPR	FRX9394L2	Lake Fryxell	FRXLT1	1	12/7/1993	9	6.04	FRXSUMRY.XLW	8.53415465
LIMNO_PPR	FRX9394L2	Lake Fryxell	FRXLT1	1	12/7/1993	10	1.83	FRXSUMRY.XLW	7.53415465
LIMNO_PPR	FRX9394L2	Lake Fryxell	FRXLT1	1	12/7/1993	11	0.16	FRXSUMRY.XLW	6.53415465
